Date,1D,1W,1M,2M,3M,1Y,2Y,3Y,4Y,5Y,6M,7Y,10Y,12Y,15Y
3,0.047437198,0.035680659,0.062931065,0.041183205,0.031182113,0.016067555,-0.011114691,-0.019823594,-0.028949744,-0.045460322,0.016218544,-0.005303946,-0.055840856,0.005453089,0.004913541
1,-0.0316226,-0.007027245,-0.001710109,-0.009843516,-0.006141899,0.023756111,0.007420876,3.23E-05,0.031923838,0.03172439,-3.04E-04,-0.000641851,0.041305048,-0.002104199,-0.001927921
1,0,0,-0.002861453,-0.001345831,-0.000448278,-0.008125355,-0.007541008,-0.008514749,-0.039928546,-0.056136781,-2.86E-04,-0.039837299,-0.056849464,0.004208081,0.003894996
1,0.0316226,-0.011624871,-0.056794839,-0.035836227,-0.029332007,-0.016046763,-0.000478921,-0.026657166,-0.034515233,-0.025591007,-0.014379234,-0.074415537,-0.024040391,0.001465554,0.001221114
1,-3.83E-06,-1.39E-06,-4.49E-07,-0.000838155,0.000332646,-1.57E-04,-0.019629997,0.003880238,2.62E-05,-0.016563229,-3.11E-04,2.58E-04,2.20E-04,1.43E-04,1.84E-04
3,-0.047430082,0.007842104,0.055438902,0.044675612,0.032880879,-0.003434433,-0.019715562,-0.024445377,-0.02884772,-0.037124343,0.01481806,-0.078330313,-0.037388165,0.006784683,0.006125186
1,0.031622603,0.007027245,0.005802387,0.001676804,0.001012707,1.55E-04,0.008251518,-0.016063542,1.79E-04,-0.040235641,3.08E-04,-0.040296462,-0.032020332,0.002910443,0.002605884
1,0.031622596,0.007027242,6.20E-05,0.002304892,0.000672819,0.011431893,0.031699633,0.055853125,0.055600225,0.127969288,0.000456851,0.111391427,0.037296067,-0.006974783,-0.006341856
1,-0.158113061,-0.073641298,-0.072576536,-0.046423738,-0.035110086,-0.009245112,0.002550703,0.012038459,0.020790126,0.020999598,-0.017178264,0.022018924,0.021765195,-0.004236383,-0.003779548
1,-2.36E-06,-8.57E-07,3.08E-04,-0.000649715,0.001316649,-1.74E-05,-8.76E-06,0.007988536,0.072012731,0.071746644,-0.00125969,0.088077652,0.046707796,-0.005729895,-0.005177626
73,0.110681524,0.06310129,0.073051416,0.045927767,0.033124093,0.009391509,0.060594777,0.090703455,0.057925929,0.098309783,0.018301638,0.114114084,0.089043588,-0.006264327,-0.00572364
1,-0.015811303,-0.003513623,-0.002377366,-1.57E-04,3.48E-06,-7.56E-05,-0.015971517,-1.99E-04,0.027968825,-0.023891937,-0.0004435,-0.016076099,-0.015919092,0.001193624,0.001088832
1,-0.126490499,-0.028109002,-0.009577714,-0.003952828,-0.00104432,-0.008658768,0.008147482,-0.039954588,-0.02798531,0.008299249,-0.001077341,1.32E-04,1.64E-04,1.20E-04,2.95E-04
1,0.110679193,-0.002729969,-0.051753074,-0.035438052,-0.028157192,-0.007455455,-0.004451848,-0.003370833,-0.018304797,-0.01893527,-0.014774686,-0.00180339,-0.017885842,-0.001267678,-0.001174502
1,0.031619143,0.011497871,0.003305658,0.000684453,0.000367197,8.06E-05,-0.00815941,0.024217532,0.047506679,0.040202842,0.000773635,0.039819011,-0.0017735,-0.001910749,-0.00184493
